Student_ID,Student_Name,Batch,Semester,Year,Mid1,Mid2,Internals,EndTerm,Attendance,Total_Marks,SGPA,Performance_Type
S0005,Pallavi Paul,2018,4,2019,9.63,8.07,13.06,91.46,76.0,76.49,7.73,Average
S0005,Pallavi Paul,2018,5,2020,7.88,9.2,7.75,79.2,75.2,64.43,6.37,Average
S0005,Pallavi Paul,2018,6,2020,6.16,8.24,14.47,74.2,75.7,65.97,6.14,Average
S0005,Pallavi Paul,2018,7,2021,6.93,7.65,13.92,76.05,78.4,66.53,6.83,Average
S0005,Pallavi Paul,2018,8,2021,10.6,9.29,14.52,78.73,81.9,73.78,7.29,Average
S0006,Ritwika Kundu,2018,1,2018,6.2,7.56,10.71,57.53,76.4,53.23,5.87,Late_Bloomer
S0006,Ritwika Kundu,2018,2,2018,4.67,5.32,11.03,55.3,75.3,48.67,5.06,Late_Bloomer
S0006,Ritwika Kundu,2018,3,2019,4.68,5.23,9.32,59.86,69.6,49.15,5.26,Late_Bloomer
S0006,Ritwika Kundu,2018,4,2019,7.01,8.21,6.8,65.87,74.9,54.94,5.32,Late_Bloomer
S0006,Ritwika Kundu,2018,5,2020,7.93,6.51,11.84,65.45,74.8,59.0,6.22,Late_Bloomer
S0006,Ritwika Kundu,2018,6,2020,7.8,8.52,12.77,86.23,73.4,72.2,7.33,Late_Bloomer
S0006,Ritwika Kundu,2018,7,2021,9.88,7.65,11.36,82.17,76.4,69.98,7.06,Late_Bloomer
S0006,Ritwika Kundu,2018,8,2021,10.49,10.47,15.28,88.05,75.8,80.26,8.72,Late_Bloomer
S0007,Amit Kundu,2018,1,2018,7.17,4.25,6.91,60.95,68.4,48.8,4.4,Low_Performer
S0007,Amit Kundu,2018,2,2018,6.73,5.04,6.22,71.62,58.8,53.81,5.4,Low_Performer
S0007,Amit Kundu,2018,3,2019,6.91,7.53,10.5,62.96,60.1,56.42,5.8,Low_Performer
S0007,Amit Kundu,2018,4,2019,5.67,6.59,8.7,59.16,59.2,50.53,5.02,Low_Performer
S0007,Amit Kundu,2018,5,2020,1.87,3.52,7.42,44.38,65.3,35.0,3.41,Low_Performer
S0007,Amit Kundu,2018,6,2020,6.75,8.17,10.37,63.08,62.8,56.83,5.43,Low_Performer
S0007,Amit Kundu,2018,7,2021,4.58,5.74,9.99,41.71,59.6,41.17,3.7,Low_Performer
S0007,Amit Kundu,2018,8,2021,5.34,3.64,9.59,53.98,63.5,45.55,4.37,Low_Performer
S0008,Ritwika Paul,2018,1,2018,11.21,11.24,18.3,99.85,66.8,90.68,8.97,Consistent_Topper
S0008,Ritwika Paul,2018,2,2018,11.94,11.21,16.05,100.0,63.5,89.2,9.02,Consistent_Topper
S0008,Ritwika Paul,2018,3,2019,11.52,12.43,15.77,100.0,77.2,89.72,9.07,Consistent_Topper
S0008,Ritwika Paul,2018,4,2019,7.55,8.5,13.74,100.0,69.3,79.8,7.89,Consistent_Topper
S0008,Ritwika Paul,2018,5,2020,10.27,10.4,16.3,100.0,77.2,86.97,8.88,Consistent_Topper
S0008,Ritwika Paul,2018,6,2020,10.27,12.86,15.73,93.35,68.1,85.54,8.98,Consistent_Topper
S0008,Ritwika Paul,2018,7,2021,10.64,10.03,16.85,100.0,69.8,87.51,8.5,Consistent_Topper
S0008,Ritwika Paul,2018,8,2021,10.96,11.7,16.4,100.0,72.1,89.06,9.19,Consistent_Topper
S0009,Sayan Chakraborty,2018,1,2018,6.74,5.12,6.51,60.65,67.4,48.7,3.98,Low_Performer
S0009,Sayan Chakraborty,2018,2,2018,7.02,8.04,9.03,78.13,73.1,63.15,6.23,Low_Performer
S0009,Sayan Chakraborty,2018,3,2019,7.43,7.75,9.59,68.49,75.7,59.01,6.17,Low_Performer
S0009,Sayan Chakraborty,2018,4,2019,6.34,7.94,9.14,62.08,81.8,54.47,5.88,Low_Performer
S0009,Sayan Chakraborty,2018,5,2020,4.54,5.04,8.91,54.45,75.8,45.71,4.1,Low_Performer
S0009,Sayan Chakraborty,2018,6,2020,4.07,5.68,7.17,73.93,77.9,53.89,5.14,Low_Performer
S0009,Sayan Chakraborty,2018,7,2021,5.92,6.29,7.61,61.73,76.3,50.68,5.28,Low_Performer
S0009,Sayan Chakraborty,2018,8,2021,7.05,8.79,10.01,60.92,78.0,56.32,5.54,Low_Performer
S0010,Kunal Pal,2018,1,2018,7.84,7.56,10.11,74.09,64.8,62.56,6.53,Average
S0010,Kunal Pal,2018,2,2018,8.04,7.68,9.06,75.27,72.7,62.41,6.22,Average
S0010,Kunal Pal,2018,3,2019,6.26,9.05,13.45,71.09,70.8,64.31,6.36,Average
S0010,Kunal Pal,2018,4,2019,5.61,7.4,13.02,59.33,71.2,55.7,5.22,Average
S0010,Kunal Pal,2018,5,2020,6.43,8.0,6.79,60.55,66.4,51.5,4.77,Average
S0010,Kunal Pal,2018,6,2020,8.03,6.02,12.46,76.83,68.0,64.93,6.32,Average
S0010,Kunal Pal,2018,7,2021,8.0,8.22,11.85,68.11,74.8,62.12,5.71,Average
S0010,Kunal Pal,2018,8,2021,6.28,8.15,10.34,78.84,71.9,64.19,6.03,Average
S0011,Nisha Sarkar,2018,1,2018,8.67,8.91,12.03,84.75,77.5,71.97,7.34,Average
S0011,Nisha Sarkar,2018,2,2018,7.98,6.6,15.94,89.24,77.8,75.15,8.28,Average
S0011,Nisha Sarkar,2018,3,2019,7.34,7.43,9.76,77.97,78.3,63.52,6.53,Average
S0011,Nisha Sarkar,2018,4,2019,8.37,7.86,12.08,79.98,82.0,68.29,7.01,Average
S0011,Nisha Sarkar,2018,5,2020,8.7,10.54,11.65,86.08,73.0,73.92,7.57,Average
S0011,Nisha Sarkar,2018,6,2020,9.48,7.94,9.86,83.2,81.2,68.88,6.88,Average
S0011,Nisha Sarkar,2018,7,2021,6.34,6.43,12.79,82.96,76.3,67.04,6.55,Average
S0011,Nisha Sarkar,2018,8,2021,7.77,7.17,13.98,83.58,69.7,70.71,7.18,Average
S0012,Maya Mondal,2018,1,2018,7.38,7.18,11.72,56.76,82.8,54.66,5.31,Low_Performer
S0012,Maya Mondal,2018,2,2018,8.12,6.16,9.3,63.22,79.3,55.2,5.61,Low_Performer
S0012,Maya Mondal,2018,3,2019,4.72,4.77,4.84,63.81,80.1,46.24,4.33,Low_Performer
S0012,Maya Mondal,2018,4,2019,4.09,5.07,9.26,48.56,77.4,42.7,3.98,Low_Performer
S0012,Maya Mondal,2018,5,2020,6.13,6.84,7.66,61.07,77.4,51.16,5.11,Low_Performer
S0012,Maya Mondal,2018,6,2020,5.41,4.37,5.55,48.07,80.2,39.37,3.91,Low_Performer
S0012,Maya Mondal,2018,7,2021,3.28,5.66,6.72,38.68,85.6,35.0,3.73,Low_Performer
S0012,Maya Mondal,2018,8,2021,5.41,5.9,7.75,51.08,76.5,44.6,4.54,Low_Performer
S0013,Neha Das,2018,1,2018,5.51,5.69,5.22,42.22,87.5,37.53,3.2,Late_Bloomer
S0013,Neha Das,2018,2,2018,8.08,7.19,10.0,75.49,84.6,63.01,6.3,Late_Bloomer
S0013,Neha Das,2018,3,2019,9.58,8.93,10.31,72.25,83.0,64.94,6.75,Late_Bloomer
S0013,Neha Das,2018,4,2019,9.38,9.28,13.47,79.74,86.8,72.0,6.66,Late_Bloomer
S0013,Neha Das,2018,5,2020,11.23,10.86,14.63,84.88,84.6,79.16,8.32,Late_Bloomer
S0013,Neha Das,2018,6,2020,9.09,8.76,11.09,87.05,84.3,72.46,7.23,Late_Bloomer
S0013,Neha Das,2018,7,2021,10.32,10.56,15.53,99.03,83.9,85.94,8.53,Late_Bloomer
S0013,Neha Das,2018,8,2021,7.69,9.46,14.0,86.77,79.9,74.54,6.92,Late_Bloomer
S0014,Sneha Das,2018,1,2018,8.1,7.87,13.94,89.33,90.2,74.58,7.57,Average
S0014,Sneha Das,2018,2,2018,7.65,8.57,13.66,88.41,91.1,74.08,7.35,Average
S0014,Sneha Das,2018,3,2019,7.64,8.58,11.8,81.79,83.7,68.92,6.97,Average
S0014,Sneha Das,2018,4,2019,7.24,6.29,9.81,93.36,87.1,70.01,7.01,Average
S0014,Sneha Das,2018,5,2020,6.42,7.58,7.34,57.67,86.1,50.17,4.9,Average
S0014,Sneha Das,2018,6,2020,8.55,8.96,10.18,63.32,83.0,59.35,6.51,Average
S0014,Sneha Das,2018,7,2021,8.65,8.89,17.55,71.85,86.1,71.02,7.36,Average
S0014,Sneha Das,2018,8,2021,7.99,9.39,12.77,81.04,83.1,70.66,7.15,Average
S0015,Ritwika Ghosh,2018,1,2018,4.99,4.53,8.87,62.74,82.4,49.76,5.0,Late_Bloomer
S0015,Ritwika Ghosh,2018,2,2018,5.58,5.41,8.92,60.04,77.9,49.93,5.08,Late_Bloomer
S0015,Ritwika Ghosh,2018,3,2019,4.89,4.82,10.15,73.28,76.7,56.5,5.58,Late_Bloomer
S0015,Ritwika Ghosh,2018,4,2019,7.3,7.24,10.98,89.2,80.3,70.13,7.1,Late_Bloomer
S0015,Ritwika Ghosh,2018,5,2020,6.84,7.11,10.9,78.17,85.7,63.93,6.4,Late_Bloomer
S0015,Ritwika Ghosh,2018,6,2020,7.83,9.17,10.74,89.4,79.4,72.44,7.36,Late_Bloomer
S0015,Ritwika Ghosh,2018,7,2021,9.25,11.94,14.48,93.27,81.1,82.3,7.85,Late_Bloomer
S0015,Ritwika Ghosh,2018,8,2021,8.83,8.99,11.72,81.5,81.0,70.29,7.33,Late_Bloomer
S0016,Ishita Mondal,2018,1,2018,10.22,9.67,15.99,100.0,91.6,85.88,8.42,Consistent_Topper
S0016,Ishita Mondal,2018,2,2018,11.62,10.98,16.93,100.0,88.8,89.52,8.95,Consistent_Topper
S0016,Ishita Mondal,2018,3,2019,12.31,12.59,16.27,100.0,91.3,91.17,9.09,Consistent_Topper
S0016,Ishita Mondal,2018,4,2019,11.87,12.58,17.5,100.0,93.3,91.95,9.09,Consistent_Topper
S0016,Ishita Mondal,2018,5,2020,6.26,8.44,12.7,78.33,90.8,66.57,6.31,Consistent_Topper
S0016,Ishita Mondal,2018,6,2020,12.45,10.21,15.93,93.0,86.6,85.09,8.99,Consistent_Topper
S0016,Ishita Mondal,2018,7,2021,10.71,9.38,15.74,100.0,90.0,85.83,8.36,Consistent_Topper
S0016,Ishita Mondal,2018,8,2021,10.78,11.11,17.25,100.0,93.2,89.13,8.61,Consistent_Topper
S0017,Ayan Chakraborty,2018,1,2018,8.39,6.4,12.24,78.1,85.2,66.08,6.83,Average
S0017,Ayan Chakraborty,2018,2,2018,7.96,7.33,10.72,75.14,88.3,63.57,6.62,Average
S0017,Ayan Chakraborty,2018,3,2019,9.51,9.97,15.57,90.17,92.8,80.13,8.05,Average
S0017,Ayan Chakraborty,2018,4,2019,7.68,8.73,12.15,77.83,87.4,67.48,6.85,Average
S0017,Ayan Chakraborty,2018,5,2020,6.56,9.24,10.94,76.43,89.5,64.95,6.0,Average
S0017,Ayan Chakraborty,2018,6,2020,7.56,7.5,12.68,75.1,82.7,65.29,6.63,Average
S0017,Ayan Chakraborty,2018,7,2021,6.63,8.37,9.83,95.92,88.1,72.79,7.29,Average
S0017,Ayan Chakraborty,2018,8,2021,9.75,9.04,15.05,91.41,86.8,79.54,7.8,Average
S0018,Abhishek Mondal,2018,1,2018,8.15,10.08,14.71,85.92,83.7,75.91,7.62,Average
S0018,Abhishek Mondal,2018,2,2018,8.47,6.98,12.55,76.19,82.8,66.1,6.24,Average
S0018,Abhishek Mondal,2018,3,2019,8.35,11.19,14.81,93.34,85.1,81.02,8.23,Average
S0018,Abhishek Mondal,2018,4,2019,8.86,10.45,13.01,90.63,86.4,77.63,7.74,Average
S0018,Abhishek Mondal,2018,5,2020,7.75,6.83,11.58,80.16,81.6,66.25,6.15,Average
S0018,Abhishek Mondal,2018,6,2020,11.87,8.47,15.74,78.79,82.2,75.47,7.62,Average
S0018,Abhishek Mondal,2018,7,2021,8.85,8.33,11.01,89.29,85.3,72.84,6.82,Average
S0018,Abhishek Mondal,2018,8,2021,8.06,8.85,12.35,75.7,88.5,67.11,6.51,Average
S0019,Aritra Ganguly,2018,1,2018,10.38,10.27,14.63,81.76,83.8,76.16,7.8,Average
S0019,Aritra Ganguly,2018,2,2018,7.21,7.77,14.8,83.16,79.5,71.36,7.39,Average
S0019,Aritra Ganguly,2018,3,2019,7.36,7.71,11.52,73.55,83.4,63.37,6.68,Average
S0019,Aritra Ganguly,2018,4,2019,8.06,7.31,11.73,80.08,76.0,67.14,6.66,Average
S0019,Aritra Ganguly,2018,5,2020,6.01,7.21,11.77,85.15,76.4,67.57,6.55,Average
S0019,Aritra Ganguly,2018,6,2020,9.02,9.0,13.31,86.71,83.0,74.69,7.47,Average
S0019,Aritra Ganguly,2018,7,2021,6.0,6.55,10.84,62.19,84.3,54.48,5.59,Average
S0019,Aritra Ganguly,2018,8,2021,8.83,9.61,13.38,80.46,75.9,72.05,7.04,Average
S0020,Sneha Chatterjee,2018,1,2018,4.48,4.71,8.31,63.33,78.9,49.17,4.84,Low_Performer
S0020,Sneha Chatterjee,2018,2,2018,7.56,6.9,7.03,42.0,72.9,42.48,4.14,Low_Performer
S0020,Sneha Chatterjee,2018,3,2019,3.86,4.77,4.88,53.91,74.3,40.47,3.82,Low_Performer
S0020,Sneha Chatterjee,2018,4,2019,5.55,3.9,8.0,43.42,79.5,39.16,3.91,Low_Performer
S0020,Sneha Chatterjee,2018,5,2020,5.26,6.93,9.61,46.4,73.4,45.0,4.42,Low_Performer
S0020,Sneha Chatterjee,2018,6,2020,7.0,7.3,14.57,79.37,81.9,68.55,6.54,Low_Performer
S0020,Sneha Chatterjee,2018,7,2021,6.72,6.17,9.23,69.51,73.6,56.88,5.47,Low_Performer
S0020,Sneha Chatterjee,2018,8,2021,8.64,7.26,11.34,74.67,75.4,64.57,6.24,Low_Performer
S0021,Kriti Sen,2018,1,2018,5.52,4.16,8.24,34.17,59.7,35.0,3.62,Low_Performer
S0021,Kriti Sen,2018,2,2018,6.16,4.85,8.98,50.47,70.1,45.22,4.69,Low_Performer
S0021,Kriti Sen,2018,3,2019,4.68,4.92,5.7,45.93,64.8,38.26,3.83,Low_Performer
S0021,Kriti Sen,2018,4,2019,4.98,7.67,8.18,58.09,69.3,49.88,5.3,Low_Performer
S0021,Kriti Sen,2018,5,2020,4.0,6.52,10.61,50.33,67.2,46.29,4.39,Low_Performer
S0021,Kriti Sen,2018,6,2020,5.98,5.17,10.42,43.63,68.2,43.38,4.19,Low_Performer
S0021,Kriti Sen,2018,7,2021,5.96,6.36,9.44,63.26,71.0,53.38,5.09,Low_Performer
S0021,Kriti Sen,2018,8,2021,8.44,8.36,9.8,61.91,69.6,57.55,5.87,Low_Performer
S0022,Sweta Pal,2018,1,2018,8.95,10.36,10.5,93.2,75.8,76.42,7.04,Average
S0022,Sweta Pal,2018,2,2018,7.39,8.69,16.08,80.92,81.4,72.62,7.51,Average
S0022,Sweta Pal,2018,3,2019,5.86,8.25,13.25,78.45,78.9,66.59,6.19,Average
S0022,Sweta Pal,2018,4,2019,5.33,8.03,12.26,72.38,75.5,61.81,6.11,Average
S0022,Sweta Pal,2018,5,2020,4.79,3.96,8.92,50.32,68.3,42.83,4.08,Average
S0022,Sweta Pal,2018,6,2020,8.4,8.98,10.68,87.3,79.8,71.72,7.53,Average
S0022,Sweta Pal,2018,7,2021,6.53,8.32,13.59,78.01,75.1,67.45,6.83,Average
S0022,Sweta Pal,2018,8,2021,6.63,7.43,14.07,85.48,71.8,70.87,7.17,Average
S0023,Anik Sarkar,2018,1,2018,10.24,9.66,16.33,100.0,94.8,86.23,8.75,Average
S0023,Anik Sarkar,2018,2,2018,10.38,9.32,16.45,95.25,90.8,83.78,8.35,Average
S0023,Anik Sarkar,2018,3,2019,8.71,10.27,13.23,74.83,91.9,69.62,6.85,Average
S0023,Anik Sarkar,2018,4,2019,8.51,5.86,12.68,72.44,90.8,63.27,6.21,Average
S0023,Anik Sarkar,2018,5,2020,8.84,6.36,13.06,74.75,94.4,65.63,6.68,Average
S0023,Anik Sarkar,2018,6,2020,8.99,8.61,13.08,79.15,86.5,70.25,7.47,Average
S0023,Anik Sarkar,2018,7,2021,7.21,5.62,11.2,74.84,97.8,61.45,6.52,Average
S0023,Anik Sarkar,2018,8,2021,6.99,9.14,10.67,74.05,88.5,63.82,6.52,Average
S0024,Sreya Roy,2018,1,2018,10.3,12.89,17.07,100.0,95.3,90.26,8.96,Consistent_Topper
S0024,Sreya Roy,2018,2,2018,11.75,12.15,17.23,100.0,90.9,91.14,9.27,Consistent_Topper
S0024,Sreya Roy,2018,3,2019,11.91,12.02,14.69,100.0,91.2,88.62,9.53,Consistent_Topper
S0024,Sreya Roy,2018,4,2019,10.51,11.11,18.18,99.04,96.9,89.32,8.99,Consistent_Topper
S0024,Sreya Roy,2018,5,2020,11.74,10.72,15.1,100.0,89.3,87.57,8.5,Consistent_Topper
S0024,Sreya Roy,2018,6,2020,10.57,8.06,14.65,100.0,86.4,83.28,8.66,Consistent_Topper
S0024,Sreya Roy,2018,7,2021,11.58,10.0,15.65,94.6,90.2,84.54,9.15,Consistent_Topper
S0024,Sreya Roy,2018,8,2021,10.34,11.18,15.84,100.0,99.0,87.36,8.62,Consistent_Topper
S0025,Sweta Chatterjee,2018,1,2018,8.29,8.89,10.81,76.18,86.3,66.07,6.35,Late_Bloomer
S0025,Sweta Chatterjee,2018,2,2018,6.2,6.13,9.09,81.95,78.9,62.39,5.71,Late_Bloomer
S0025,Sweta Chatterjee,2018,3,2019,5.1,7.17,10.8,76.56,77.5,61.35,6.76,Late_Bloomer
S0025,Sweta Chatterjee,2018,4,2019,8.34,7.89,12.16,72.83,71.3,64.81,6.71,Late_Bloomer
S0025,Sweta Chatterjee,2018,5,2020,9.09,8.29,13.33,87.08,73.8,74.26,7.24,Late_Bloomer
S0025,Sweta Chatterjee,2018,6,2020,8.46,6.98,13.27,78.15,72.8,67.79,6.42,Late_Bloomer
S0025,Sweta Chatterjee,2018,7,2021,9.6,9.06,14.65,87.89,74.8,77.26,7.09,Late_Bloomer
S0025,Sweta Chatterjee,2018,8,2021,10.09,10.57,16.38,92.98,76.9,83.53,7.75,Late_Bloomer
S0026,Arjun Chakraborty,2019,1,2019,8.4,9.5,13.35,81.88,77.2,72.2,7.19,Average
S0026,Arjun Chakraborty,2019,2,2019,6.54,7.9,11.61,70.32,89.4,61.21,5.65,Average
S0026,Arjun Chakraborty,2019,3,2020,6.2,6.95,10.27,79.44,81.1,63.15,6.55,Average
S0026,Arjun Chakraborty,2019,4,2020,6.92,6.59,10.19,81.53,87.2,64.47,6.26,Average
S0026,Arjun Chakraborty,2019,5,2021,6.59,6.34,10.36,62.81,79.3,54.69,5.47,Average
S0026,Arjun Chakraborty,2019,6,2021,8.34,5.1,11.49,72.04,78.2,60.95,6.45,Average
S0026,Arjun Chakraborty,2019,7,2022,6.83,6.11,14.1,86.84,83.4,70.46,6.75,Average
S0026,Arjun Chakraborty,2019,8,2022,7.26,8.37,12.67,76.62,82.2,66.61,6.76,Average
S0027,Puja Roy,2019,1,2019,10.28,7.6,13.06,88.42,86.4,75.15,7.92,Average
S0027,Puja Roy,2019,2,2019,8.19,8.86,12.48,83.84,92.7,71.46,7.13,Average
S0027,Puja Roy,2019,3,2020,11.49,6.8,13.35,79.66,90.9,71.47,6.92,Average
S0027,Puja Roy,2019,4,2020,8.79,9.73,9.38,87.52,92.9,71.67,7.64,Average
S0027,Puja Roy,2019,5,2021,8.22,8.06,12.53,76.93,92.1,67.27,7.05,Average
S0027,Puja Roy,2019,6,2021,8.37,7.1,13.62,84.72,83.6,71.45,6.42,Average
S0027,Puja Roy,2019,7,2022,9.57,8.22,11.56,81.29,93.2,69.99,6.85,Average
S0027,Puja Roy,2019,8,2022,7.38,9.33,10.77,94.09,95.7,74.52,7.68,Average
S0028,Sweta Sarkar,2019,1,2019,10.7,8.81,14.6,90.25,92.7,79.24,7.92,Average
S0028,Sweta Sarkar,2019,2,2019,6.97,8.7,13.53,84.41,98.2,71.41,7.07,Average
S0028,Sweta Sarkar,2019,3,2020,8.3,8.75,11.29,93.81,90.6,75.26,7.22,Average
S0028,Sweta Sarkar,2019,4,2020,8.53,9.32,13.4,88.71,94.9,75.61,7.82,Average
S0028,Sweta Sarkar,2019,5,2021,6.32,7.98,10.65,76.21,95.0,63.05,7.02,Average
S0028,Sweta Sarkar,2019,6,2021,7.07,7.71,7.86,80.8,90.1,63.04,6.37,Average
S0028,Sweta Sarkar,2019,7,2022,8.81,8.4,10.05,95.09,100.0,74.81,7.67,Average
S0028,Sweta Sarkar,2019,8,2022,8.04,9.18,10.85,86.69,96.6,71.41,7.45,Average
S0029,Sweta Paul,2019,1,2019,7.92,8.33,13.39,88.33,80.4,73.81,7.39,Average
S0029,Sweta Paul,2019,2,2019,6.75,7.68,13.67,80.41,72.3,68.3,6.42,Average
S0029,Sweta Paul,2019,3,2020,7.53,9.4,12.65,72.9,71.9,66.03,6.21,Average
S0029,Sweta Paul,2019,4,2020,7.12,8.51,10.26,75.13,75.4,63.46,6.16,Average
S0029,Sweta Paul,2019,5,2021,9.14,9.7,9.6,66.99,70.1,61.94,6.22,Average
S0029,Sweta Paul,2019,6,2021,6.16,6.16,10.6,74.39,68.0,60.12,5.65,Average
S0029,Sweta Paul,2019,7,2022,8.38,7.02,15.03,77.67,76.1,69.26,7.26,Average
S0029,Sweta Paul,2019,8,2022,9.25,8.6,11.83,70.48,73.9,64.92,5.76,Average
S0030,Arjun Mitra,2019,1,2019,6.63,7.34,7.0,63.47,88.4,52.7,5.27,Low_Performer
S0030,Arjun Mitra,2019,2,2019,4.8,4.8,7.46,51.27,84.6,42.69,4.1,Low_Performer
S0030,Arjun Mitra,2019,3,2020,5.93,5.83,9.49,61.42,81.7,51.96,4.62,Low_Performer
S0030,Arjun Mitra,2019,4,2020,4.48,4.46,10.06,69.24,85.4,53.63,5.36,Low_Performer
S0030,Arjun Mitra,2019,5,2021,6.61,5.86,6.03,65.09,84.2,51.05,5.34,Low_Performer
S0030,Arjun Mitra,2019,6,2021,6.85,7.03,11.6,51.91,88.4,51.43,4.88,Low_Performer
S0030,Arjun Mitra,2019,7,2022,7.13,7.3,10.21,62.7,82.6,55.99,5.67,Low_Performer
S0030,Arjun Mitra,2019,8,2022,7.29,8.16,8.67,73.09,82.5,60.67,5.67,Low_Performer
S0031,Sweta Sen,2019,1,2019,5.7,6.57,9.06,62.99,73.8,52.82,5.48,Low_Performer
S0031,Sweta Sen,2019,2,2019,6.93,6.28,6.73,58.2,80.2,49.04,5.1,Low_Performer
S0031,Sweta Sen,2019,3,2020,7.74,7.6,10.86,71.71,73.9,62.05,6.41,Low_Performer
S0031,Sweta Sen,2019,4,2020,5.14,4.56,7.04,62.45,76.8,47.96,4.25,Low_Performer
S0031,Sweta Sen,2019,5,2021,6.09,6.79,7.36,48.94,81.2,44.71,4.5,Low_Performer
S0031,Sweta Sen,2019,6,2021,5.61,3.85,8.93,53.43,70.2,45.11,4.82,Low_Performer
S0031,Sweta Sen,2019,7,2022,4.8,3.83,8.75,54.94,75.1,44.85,4.35,Low_Performer
S0031,Sweta Sen,2019,8,2022,6.38,7.13,8.02,65.41,74.0,54.23,5.43,Low_Performer
S0032,Puja Mondal,2019,1,2019,11.73,8.26,18.55,100.0,76.0,88.54,7.94,Consistent_Topper
S0032,Puja Mondal,2019,2,2019,9.39,9.76,17.83,100.0,71.8,86.98,8.12,Consistent_Topper
S0032,Puja Mondal,2019,3,2020,9.6,9.16,16.57,99.03,78.8,84.85,8.7,Consistent_Topper
S0032,Puja Mondal,2019,4,2020,9.69,12.64,16.5,100.0,67.4,88.83,8.53,Consistent_Topper
S0032,Puja Mondal,2019,5,2021,9.29,8.33,15.2,100.0,71.5,82.82,7.74,Consistent_Topper
S0032,Puja Mondal,2019,6,2021,11.99,10.04,15.35,91.69,71.2,83.22,7.79,Consistent_Topper
